post_id,user_id,receiver_id,post_type,post_text,posttime ,visible
54,447,586,messages,Thank you for your patience.,2023-04-01 21:27:41,true
55,723,518,messages,Please wait a moment.,2023-08-04 05:48:45,false
56,75,816,messages,Thank you for your patience.,2022-11-10 13:46:51,true
57,937,494,messages,How can I assist you?,2022-11-02 07:33:35,true
58,747,174,messages,I'm here to help.,2022-11-04 23:53:14,false
59,120,990,messages,Please wait a moment.,2023-07-06 06:07:39,false
60,439,347,messages,Hello,2023-09-13 15:07:25,false
61,399,60,messages,Hello,2023-01-25 00:09:01,false
62,535,597,messages,I can't help with that.,2023-07-31 20:53:54,false
63,765,782,messages,I'm sorry,2022-10-30 15:45:35,false
64,409,239,messages,Is there anything else I can do for you?,2023-08-26 13:18:30,true
65,940,87,messages,Sorry for the inconvenience.,2023-06-16 17:04:51,true
66,97,724,messages,How can I assist you?,2023-03-04 20:37:23,true
67,725,429,messages,Please wait a moment.,2023-08-04 05:42:23,false
68,848,708,messages,I can't help with that.,2023-02-07 20:51:01,true
69,355,942,messages,How can I assist you?,2022-11-30 05:02:31,true
70,163,325,messages,How can I assist you?,2022-10-19 00:50:47,true
71,160,920,messages,I'm here to help.,2022-11-28 02:07:59,false
72,695,528,messages,Hello,2023-01-11 01:02:09,true
73,3,69,messages,I'm here to help.,2022-10-18 21:25:45,false
74,84,840,messages,how are you?,2023-02-24 09:59:27,false
75,304,136,messages,I'm here to help.,2023-05-28 14:47:20,true
76,158,849,messages,Have a great day!,2023-02-24 11:06:24,true
77,981,265,messages,I can't help with that.,2023-01-06 21:26:03,false
78,38,239,messages,Let me check that for you.,2023-09-27 12:52:59,true
79,825,81,messages,Let me check that for you.,2023-04-11 17:42:06,false
80,703,984,messages,Have a great day!,2023-08-09 05:23:12,true
81,920,727,messages,how are you?,2023-09-11 14:22:39,true
82,50,374,messages,Is there anything else I can do for you?,2023-02-17 19:07:37,false
83,264,120,messages,Sorry for the inconvenience.,2023-01-07 03:22:56,true
84,102,672,messages,Let me check that for you.,2023-04-25 06:28:57,false
85,259,15,messages,Thank you for your patience.,2023-10-04 04:57:29,true
86,850,814,messages,I can't help with that.,2023-08-08 13:06:29,true
87,560,786,messages,I'm here to help.,2022-12-04 21:14:59,false
88,433,884,messages,Hello,2023-03-23 18:47:47,false
89,472,546,messages,Sorry for the inconvenience.,2023-01-10 10:12:06,false
90,376,321,messages,Is there anything else I can do for you?,2023-08-21 18:00:27,true
91,662,607,messages,I'm sorry,2022-12-28 14:23:46,true
92,643,426,messages,how are you?,2023-05-16 21:10:52,false
93,713,42,messages,I can't help with that.,2023-04-07 15:22:22,true
94,288,837,messages,I can't help with that.,2023-04-04 07:35:28,false
95,262,230,messages,I'm sorry,2023-03-13 11:06:05,false
96,329,211,messages,Thank you for your patience.,2023-10-04 09:38:46,false
97,604,964,messages,Is there anything else I can do for you?,2023-05-11 02:20:12,true
98,269,281,messages,Is there anything else I can do for you?,2023-01-14 00:14:49,false
99,823,255,messages,Is there anything else I can do for you?,2022-12-07 04:55:05,false
100,290,807,messages,Have a great day!,2023-07-06 14:04:09,true
101,369,302,messages,how are you?,2023-07-24 00:00:09,true
102,177,39,messages,Let me check that for you.,2023-09-22 22:14:00,false
103,924,736,messages,Is there anything else I can do for you?,2022-10-28 09:35:53,true
104,79,610,messages,Sorry for the inconvenience.,2022-12-22 03:23:41,false
105,894,380,messages,I'm here to help.,2022-11-09 11:23:11,false
106,675,949,messages,Have a great day!,2023-03-17 15:31:32,true
107,739,388,messages,Have a great day!,2022-10-19 08:31:00,true
108,462,241,messages,How can I assist you?,2023-07-26 00:13:29,false
109,909,107,messages,Have a great day!,2023-10-06 16:17:54,false
110,245,686,messages,I can't help with that.,2023-07-15 16:41:28,true
111,22,819,messages,I'm sorry,2023-03-27 02:30:09,false
112,818,913,messages,Sorry for the inconvenience.,2023-04-21 17:05:33,false
113,835,232,messages,Hello,2023-06-19 05:37:31,false
114,24,608,messages,Let me check that for you.,2023-05-29 09:23:37,false
115,379,374,messages,Thank you for your patience.,2023-06-10 12:16:28,false
116,242,565,messages,I'm here to help.,2022-10-20 07:50:41,true
117,277,53,messages,I'm here to help.,2023-03-26 12:23:55,true
118,924,302,messages,How can I assist you?,2023-05-16 09:48:17,true
119,896,287,messages,I'm sorry,2022-12-11 19:44:10,true
120,383,261,messages,Is there anything else I can do for you?,2023-08-23 13:56:59,true
121,123,824,messages,Let me check that for you.,2023-04-21 19:02:30,false
122,706,123,messages,Is there anything else I can do for you?,2023-09-05 06:33:14,true
123,250,728,messages,I'm here to help.,2022-10-31 09:53:23,false
124,338,902,messages,I'm here to help.,2023-07-30 15:13:26,false
125,840,690,messages,Hello,2023-08-22 08:04:26,true
126,773,537,messages,how are you?,2023-08-06 19:57:32,true
127,864,95,messages,Have a great day!,2023-04-14 09:05:00,true
128,694,229,messages,Please wait a moment.,2023-08-23 23:27:01,false
129,812,290,messages,How can I assist you?,2023-07-06 20:01:09,false
130,338,184,messages,Is there anything else I can do for you?,2023-08-05 08:01:38,true
131,711,528,messages,Please wait a moment.,2023-07-24 16:01:50,false
132,280,809,messages,Let me check that for you.,2023-01-21 21:07:10,false
133,436,728,messages,how are you?,2023-07-09 21:14:42,false
134,38,58,messages,Sorry for the inconvenience.,2023-03-01 11:53:03,false
135,330,937,messages,Sorry for the inconvenience.,2023-07-29 06:29:19,false
136,949,244,messages,Have a great day!,2023-07-10 17:23:29,false
137,757,936,messages,I can't help with that.,2023-04-22 20:49:32,true
138,127,268,messages,how are you?,2023-03-27 01:56:20,false
139,617,745,messages,Have a great day!,2023-10-11 23:51:41,true
140,583,132,messages,Let me check that for you.,2023-07-14 07:21:27,false
141,288,951,messages,I'm here to help.,2023-02-12 03:11:57,true
142,878,661,messages,Let me check that for you.,2023-05-18 22:27:10,false
143,46,42,messages,I'm here to help.,2023-01-01 13:16:10,false
144,251,638,messages,how are you?,2023-03-28 08:34:43,true
145,46,289,messages,I can't help with that.,2023-08-20 21:11:12,true
146,184,193,messages,I'm sorry,2023-04-20 11:21:19,false
147,895,236,messages,I'm sorry,2023-08-08 21:59:14,true
148,218,935,messages,Is there anything else I can do for you?,2023-05-03 11:00:43,true
149,633,991,messages,Please wait a moment.,2023-01-15 07:09:11,false
150,766,188,messages,Sorry for the inconvenience.,2023-02-12 19:23:55,true
151,488,987,messages,Let me check that for you.,2023-03-08 18:18:58,true
152,915,680,messages,Hello,2023-07-11 01:43:33,false
153,639,673,messages,I can't help with that.,2023-06-19 23:02:42,false
154,558,428,messages,Hello,2023-01-07 04:18:18,true
155,711,459,messages,Please wait a moment.,2023-03-07 09:55:34,false
156,895,511,messages,Please wait a moment.,2023-10-07 11:45:51,true
157,667,690,messages,Hello,2022-12-10 16:34:02,false
158,871,639,messages,Thank you for your patience.,2022-12-19 17:44:58,true
159,54,6,messages,Hello,2022-10-29 21:35:39,false
160,999,395,messages,Thank you for your patience.,2022-11-20 04:08:24,false
161,463,241,messages,Thank you for your patience.,2022-11-07 23:58:26,true
162,704,827,messages,how are you?,2023-05-16 16:08:49,true
163,744,386,messages,Have a great day!,2023-04-11 02:07:44,false
164,397,817,messages,Let me check that for you.,2022-10-19 02:02:40,true
165,107,737,messages,Have a great day!,2023-09-10 18:50:12,true
166,337,915,messages,how are you?,2022-11-30 03:18:06,true
167,780,189,messages,I'm sorry,2023-06-23 03:21:31,true
168,157,318,messages,Is there anything else I can do for you?,2023-10-14 19:20:55,false
169,958,969,messages,Let me check that for you.,2023-02-26 10:58:14,true
170,625,786,messages,Thank you for your patience.,2023-01-03 20:13:23,true
171,262,635,messages,How can I assist you?,2023-01-23 23:09:35,false
172,622,111,messages,Please wait a moment.,2023-01-15 07:10:03,false
173,651,734,messages,Hello,2023-06-09 03:29:44,true
174,68,370,messages,I can't help with that.,2023-01-23 13:26:41,true
175,631,464,messages,Sorry for the inconvenience.,2022-12-16 05:26:48,false
176,638,558,messages,Have a great day!,2022-12-19 14:33:52,false
177,47,353,messages,how are you?,2023-03-24 13:43:17,true
178,61,506,messages,Hello,2023-03-08 21:34:34,true
179,650,711,messages,Please wait a moment.,2022-11-28 14:00:32,true
180,654,33,messages,I'm here to help.,2022-11-08 05:55:54,false
181,102,657,messages,Is there anything else I can do for you?,2023-02-22 14:48:55,false
182,721,120,messages,Thank you for your patience.,2023-06-14 04:53:50,false
183,500,522,messages,Is there anything else I can do for you?,2023-01-14 09:17:35,false
184,202,955,messages,Let me check that for you.,2022-12-02 18:50:08,true
185,901,315,messages,I'm sorry,2023-03-25 23:14:21,false
186,227,971,messages,I can't help with that.,2022-12-12 07:06:48,true
187,376,970,messages,I'm here to help.,2022-12-08 07:49:04,false
188,776,122,messages,Thank you for your patience.,2022-12-14 06:58:09,true
189,869,308,messages,Have a great day!,2023-01-23 09:59:37,false
190,352,908,messages,I'm sorry,2023-07-17 04:53:08,true
191,42,379,messages,Hello,2023-08-22 04:06:17,false
192,875,621,messages,Have a great day!,2023-01-03 08:04:18,true
193,599,610,messages,Thank you for your patience.,2023-06-13 12:25:01,true
194,365,657,messages,Sorry for the inconvenience.,2022-11-09 09:39:13,true
195,191,251,messages,Have a great day!,2023-07-01 13:52:23,true
196,666,364,messages,Please wait a moment.,2022-11-01 18:09:59,false
197,789,917,messages,Thank you for your patience.,2023-03-22 17:11:55,true
198,709,986,messages,Hello,2023-07-09 06:55:33,false
199,689,682,messages,I'm sorry,2022-12-27 09:39:01,true
200,79,11,messages,Hello,2023-07-21 20:55:43,true
201,815,354,messages,Thank you for your patience.,2023-09-17 19:33:20,false
202,365,461,messages,I'm here to help.,2023-05-24 09:53:55,true
203,325,833,messages,Have a great day!,2023-05-14 16:31:11,true
204,157,105,messages,Let me check that for you.,2022-11-09 13:29:29,true
205,531,461,messages,Sorry for the inconvenience.,2022-10-19 17:02:36,false
206,404,583,messages,How can I assist you?,2022-10-26 16:17:58,false
207,763,588,messages,I can't help with that.,2023-08-05 20:59:15,true
208,849,685,messages,I can't help with that.,2023-05-19 15:12:40,false
209,286,480,messages,I'm sorry,2022-10-29 21:02:13,true
210,402,81,messages,Hello,2023-07-12 13:29:33,false
211,919,926,messages,how are you?,2022-11-07 06:24:14,true
212,423,584,messages,Sorry for the inconvenience.,2022-11-02 00:35:06,true
213,605,450,messages,I can't help with that.,2023-06-03 22:41:07,false
214,524,285,messages,Sorry for the inconvenience.,2023-02-17 02:27:09,true
215,306,783,messages,Have a great day!,2023-08-28 19:21:01,true
216,489,854,messages,Thank you for your patience.,2023-04-25 07:20:45,false
217,681,68,messages,I can't help with that.,2023-08-11 13:56:37,true
218,474,413,messages,Is there anything else I can do for you?,2023-04-23 10:19:14,false
219,486,534,messages,Thank you for your patience.,2023-06-15 21:02:41,false
220,256,652,messages,Sorry for the inconvenience.,2023-06-20 05:19:52,false
221,766,599,messages,Sorry for the inconvenience.,2023-02-05 17:38:18,true
222,299,414,messages,Thank you for your patience.,2023-02-05 09:10:13,false
223,480,552,messages,Have a great day!,2023-03-23 21:34:45,false
224,265,402,messages,I'm sorry,2023-02-19 00:45:40,true
225,972,845,messages,Let me check that for you.,2023-06-03 01:02:10,false
226,744,786,messages,how are you?,2023-07-02 04:35:41,false
227,365,212,messages,Have a great day!,2023-05-21 18:24:18,false
228,677,397,messages,Is there anything else I can do for you?,2022-10-18 10:37:10,true
229,101,966,messages,Have a great day!,2023-05-19 18:05:10,true
230,471,264,messages,I can't help with that.,2023-04-05 18:12:55,false
231,274,779,messages,I'm here to help.,2022-12-27 02:02:28,false
232,271,953,messages,Sorry for the inconvenience.,2022-12-22 08:42:16,false
233,484,189,messages,Is there anything else I can do for you?,2023-10-15 22:12:52,true
234,634,938,messages,Let me check that for you.,2022-11-26 23:45:08,false
235,956,734,messages,Is there anything else I can do for you?,2023-02-01 21:27:43,false
236,69,36,messages,Thank you for your patience.,2023-09-01 17:09:11,true
237,135,858,messages,Have a great day!,2023-01-31 09:57:03,true
238,841,962,messages,I can't help with that.,2023-06-26 01:33:43,false
239,221,192,messages,I can't help with that.,2023-03-12 06:56:01,true
240,503,548,messages,Sorry for the inconvenience.,2023-05-31 13:56:25,true
241,999,986,messages,Hello,2023-01-10 13:37:31,false
242,193,896,messages,How can I assist you?,2023-09-27 11:22:46,true
243,339,23,messages,Have a great day!,2023-08-02 03:22:35,false
244,103,245,messages,Please wait a moment.,2023-02-05 23:37:47,false
245,990,578,messages,I'm here to help.,2023-08-29 12:08:12,true
246,541,802,messages,how are you?,2023-06-13 05:32:28,true
247,177,339,messages,Hello,2023-03-26 09:01:58,true
248,788,660,messages,Is there anything else I can do for you?,2023-06-20 04:10:30,false
249,260,85,messages,How can I assist you?,2023-10-13 10:05:31,true
250,56,950,messages,How can I assist you?,2022-11-06 11:40:20,false
251,320,177,messages,Thank you for your patience.,2022-12-29 18:09:31,false
252,913,290,messages,Hello,2022-12-10 23:00:21,false
253,208,246,messages,Have a great day!,2022-10-17 16:04:34,true
254,317,79,messages,I'm here to help.,2023-05-04 05:21:27,false
255,473,433,messages,How can I assist you?,2022-11-23 09:04:11,false
256,409,957,messages,Is there anything else I can do for you?,2023-04-22 12:19:38,true
257,440,466,messages,I'm sorry,2022-11-26 05:43:35,false
258,434,966,messages,I'm sorry,2023-07-03 23:58:14,false
259,645,623,messages,I can't help with that.,2023-06-16 08:48:18,true
260,704,376,messages,I can't help with that.,2023-07-02 00:24:53,false
261,151,761,messages,I'm sorry,2023-04-08 04:20:02,false
262,548,963,messages,I'm sorry,2023-07-19 09:11:41,true
263,651,79,messages,Is there anything else I can do for you?,2023-03-29 13:02:43,false
264,986,880,messages,Is there anything else I can do for you?,2022-11-08 05:24:26,false
265,144,168,messages,Sorry for the inconvenience.,2023-06-16 15:31:29,false
266,898,580,messages,I'm sorry,2023-07-06 23:34:03,true
267,487,331,messages,Let me check that for you.,2023-01-21 09:34:39,true
268,755,206,messages,I'm sorry,2023-04-14 19:28:44,true
269,385,69,messages,how are you?,2023-05-16 15:23:01,false
270,614,728,messages,Let me check that for you.,2023-09-10 20:39:32,false
271,105,204,messages,I can't help with that.,2023-07-01 01:22:19,true
272,886,568,messages,Hello,2023-07-27 12:31:39,false
273,361,756,messages,Have a great day!,2023-09-11 03:27:07,false
274,314,733,messages,I'm sorry,2023-09-16 07:00:08,false
275,509,314,messages,Sorry for the inconvenience.,2023-07-29 13:02:38,true
276,431,934,messages,Sorry for the inconvenience.,2022-12-09 18:51:52,true
277,648,520,messages,Is there anything else I can do for you?,2022-12-25 07:40:34,true
278,879,733,messages,I'm here to help.,2022-11-15 08:31:47,true
279,576,355,messages,I can't help with that.,2022-12-02 05:07:27,false
280,219,592,messages,Hello,2022-11-25 20:36:29,true
281,660,893,messages,How can I assist you?,2023-05-11 06:32:00,false
282,428,911,messages,Sorry for the inconvenience.,2023-02-19 12:39:13,true
283,553,546,messages,Thank you for your patience.,2023-08-18 18:05:06,true
284,609,388,messages,Have a great day!,2023-04-02 08:05:39,false
285,199,1,messages,Let me check that for you.,2023-03-30 04:07:19,true
286,564,348,messages,Is there anything else I can do for you?,2023-07-18 04:11:15,true
287,627,882,messages,how are you?,2023-06-03 19:39:22,false
288,921,687,messages,I'm sorry,2023-08-20 06:52:26,false
289,50,123,messages,Sorry for the inconvenience.,2023-07-18 13:27:39,true
290,638,172,messages,Thank you for your patience.,2023-01-22 00:50:52,false
291,282,643,messages,I'm sorry,2023-02-10 11:25:06,true
292,155,446,messages,Sorry for the inconvenience.,2022-12-20 20:28:05,true
293,889,158,messages,Have a great day!,2023-04-23 17:20:41,false
294,160,343,messages,Thank you for your patience.,2023-06-17 01:14:10,true
295,40,100,messages,Hello,2023-04-06 18:39:34,false
296,691,149,messages,Sorry for the inconvenience.,2023-02-08 03:32:00,true
297,389,722,messages,how are you?,2023-03-28 02:33:42,false
298,311,583,messages,I'm here to help.,2022-11-12 14:57:27,true
299,170,657,messages,Thank you for your patience.,2023-01-21 22:56:04,false
300,588,894,messages,Please wait a moment.,2022-11-04 04:57:37,false
301,994,319,messages,Have a great day!,2023-03-16 22:57:33,true
302,50,81,messages,Please wait a moment.,2023-03-02 07:04:28,false
303,386,24,messages,Have a great day!,2022-12-25 12:57:36,false
304,125,54,messages,Please wait a moment.,2023-01-10 16:34:56,false
305,316,355,messages,how are you?,2022-12-19 23:12:54,true
306,810,25,messages,Please wait a moment.,2022-12-14 01:55:28,false
307,529,813,messages,Hello,2023-09-24 19:57:36,true
308,927,607,messages,I'm here to help.,2023-08-17 05:04:52,false
309,161,601,messages,Hello,2022-10-31 02:51:05,true
310,343,833,messages,Please wait a moment.,2023-09-06 10:14:12,true
311,189,331,messages,Sorry for the inconvenience.,2023-05-28 06:09:25,false
312,640,141,messages,Have a great day!,2023-10-05 01:07:35,false
313,921,659,messages,Thank you for your patience.,2023-03-10 01:39:47,false
314,373,799,messages,How can I assist you?,2023-01-07 05:31:21,false
315,443,747,messages,I'm here to help.,2022-11-07 14:51:33,true
316,104,222,messages,Please wait a moment.,2022-12-24 01:49:46,false
317,617,707,messages,Let me check that for you.,2023-07-30 21:50:18,true
318,114,879,messages,Is there anything else I can do for you?,2023-01-23 15:17:09,false
319,891,861,messages,Please wait a moment.,2023-02-06 19:19:53,true
320,177,8,messages,Thank you for your patience.,2023-05-15 04:07:22,false
321,707,89,messages,I'm here to help.,2023-07-25 15:45:59,false
322,366,622,messages,how are you?,2022-11-20 10:16:51,false
323,431,955,messages,Sorry for the inconvenience.,2023-09-26 02:11:22,false
324,553,463,messages,Is there anything else I can do for you?,2023-05-15 16:54:17,false
325,68,420,messages,I'm here to help.,2023-05-17 23:31:23,true
326,498,667,messages,How can I assist you?,2022-11-11 20:31:17,false
327,287,640,messages,Let me check that for you.,2023-05-28 16:31:33,true
328,753,505,messages,Let me check that for you.,2023-07-08 23:51:30,true
329,983,279,messages,I can't help with that.,2023-10-09 23:18:31,true
330,635,573,messages,Have a great day!,2023-06-24 04:36:14,false
331,45,371,messages,Thank you for your patience.,2023-02-21 15:06:42,false
332,199,638,messages,Please wait a moment.,2023-08-16 10:59:00,true
333,754,750,messages,Have a great day!,2023-05-25 11:06:13,true
334,570,772,messages,Have a great day!,2023-01-21 00:45:46,false
335,682,852,messages,Let me check that for you.,2022-11-01 07:12:39,false
336,372,211,messages,I'm here to help.,2023-09-15 23:22:29,false
337,915,812,messages,how are you?,2023-01-02 20:42:31,true
338,800,78,messages,How can I assist you?,2023-01-10 11:34:30,true
339,569,322,messages,Sorry for the inconvenience.,2022-12-09 15:03:38,false
340,404,386,messages,Have a great day!,2023-05-02 16:51:20,false
341,478,189,messages,how are you?,2023-09-23 03:36:26,true
342,138,491,messages,Is there anything else I can do for you?,2023-07-18 10:20:20,true
343,955,609,messages,I'm sorry,2023-08-21 01:54:16,true
344,632,402,messages,how are you?,2023-08-07 20:33:05,false
345,163,880,messages,I'm here to help.,2023-08-31 00:14:11,true
346,775,124,messages,Thank you for your patience.,2023-09-25 10:52:44,false
347,317,837,messages,Have a great day!,2023-06-04 21:24:49,false
348,703,506,messages,how are you?,2022-12-10 15:54:12,true
349,476,706,messages,I'm here to help.,2023-09-05 22:30:22,false
350,331,399,messages,Is there anything else I can do for you?,2023-01-14 21:40:44,true
351,258,396,messages,how are you?,2022-11-29 21:15:30,false
352,770,566,messages,Let me check that for you.,2023-02-11 15:02:38,true
353,411,352,messages,Is there anything else I can do for you?,2023-10-15 00:50:26,true
354,753,48,messages,Thank you for your patience.,2022-12-01 17:47:15,false
355,380,719,messages,how are you?,2023-03-13 00:22:14,true
356,773,743,messages,Sorry for the inconvenience.,2023-04-25 03:20:28,false
357,285,970,messages,how are you?,2022-12-25 10:53:01,true
358,383,886,messages,I can't help with that.,2022-11-02 10:24:06,true
359,676,537,messages,Let me check that for you.,2023-03-29 02:17:36,true
360,965,236,messages,I'm here to help.,2023-01-31 04:47:21,true
361,77,19,messages,how are you?,2023-01-15 01:20:13,true
362,592,332,messages,Please wait a moment.,2023-05-06 15:09:05,true
363,234,506,messages,Thank you for your patience.,2023-04-13 16:45:21,true
364,125,575,messages,How can I assist you?,2023-05-09 07:24:05,false
365,765,390,messages,Thank you for your patience.,2023-03-25 03:13:38,true
366,432,173,messages,Have a great day!,2023-05-17 20:13:13,false
367,250,436,messages,Hello,2022-10-22 09:15:13,false
368,154,600,messages,Have a great day!,2023-03-25 00:33:48,true
369,970,656,messages,Hello,2023-08-21 15:29:15,true
370,508,72,messages,Have a great day!,2023-09-02 11:24:52,false
371,988,72,messages,Sorry for the inconvenience.,2023-01-21 08:19:21,false
372,391,656,messages,I can't help with that.,2023-08-18 14:33:58,false
373,863,643,messages,I'm sorry,2023-09-03 14:23:11,true
374,962,567,messages,I'm sorry,2023-05-07 06:49:34,true
375,927,638,messages,Hello,2023-07-05 04:52:55,true
376,655,206,messages,how are you?,2023-04-22 21:33:49,true
377,80,468,messages,Is there anything else I can do for you?,2023-08-27 10:36:21,true
378,640,960,messages,How can I assist you?,2022-12-20 20:00:38,true
379,53,584,messages,Hello,2023-02-13 04:37:36,false
380,899,926,messages,Have a great day!,2023-06-25 04:58:44,false
381,192,452,messages,I can't help with that.,2023-02-10 12:45:37,false
382,28,894,messages,Let me check that for you.,2023-09-06 01:44:15,true
383,515,179,messages,Have a great day!,2023-07-13 11:04:16,true
384,865,118,messages,Let me check that for you.,2023-01-10 11:13:35,false
385,797,964,messages,Thank you for your patience.,2023-08-27 01:20:30,false
386,120,275,messages,Sorry for the inconvenience.,2023-01-28 15:46:59,false
387,316,994,messages,Sorry for the inconvenience.,2023-06-18 14:39:59,true
388,15,476,messages,Sorry for the inconvenience.,2023-02-17 04:04:44,true
389,427,528,messages,Is there anything else I can do for you?,2022-12-12 20:19:27,false
390,696,381,messages,I'm sorry,2023-09-21 00:12:11,false
391,363,120,messages,Sorry for the inconvenience.,2023-04-04 22:54:46,true
392,140,783,messages,Thank you for your patience.,2023-06-26 17:27:33,true
393,491,183,messages,Hello,2023-01-17 20:23:43,true
394,646,690,messages,Let me check that for you.,2023-10-01 05:20:21,false
395,200,312,messages,Have a great day!,2023-06-09 16:59:39,true
396,134,908,messages,Sorry for the inconvenience.,2022-10-26 09:05:50,true
397,347,625,messages,Sorry for the inconvenience.,2023-03-17 05:24:50,true
398,108,327,messages,Let me check that for you.,2023-10-12 19:06:55,true
399,672,901,messages,I can't help with that.,2023-04-19 00:34:56,false
400,607,306,messages,Please wait a moment.,2023-06-05 20:03:47,false
401,563,810,messages,How can I assist you?,2023-08-13 18:19:17,false
402,860,911,messages,Sorry for the inconvenience.,2022-12-03 10:55:17,true
403,298,827,messages,I can't help with that.,2022-12-15 13:18:50,true
404,584,932,messages,Is there anything else I can do for you?,2023-06-21 04:14:30,true
405,845,471,messages,Please wait a moment.,2023-03-21 12:15:55,true
406,616,772,messages,Thank you for your patience.,2023-08-30 06:39:23,false
407,995,858,messages,Thank you for your patience.,2023-06-15 16:22:53,true
408,335,861,messages,Please wait a moment.,2023-06-21 08:17:07,true
409,705,499,messages,Let me check that for you.,2023-09-04 23:29:25,true
410,646,655,messages,how are you?,2023-07-04 03:11:42,false
411,269,56,messages,I'm here to help.,2023-09-01 09:14:23,true
412,315,186,messages,I can't help with that.,2023-04-06 03:45:51,false
413,616,781,messages,Have a great day!,2023-09-20 05:12:49,true
414,48,80,messages,how are you?,2023-01-26 00:06:43,false
415,347,754,messages,How can I assist you?,2023-05-14 10:46:12,true
416,420,866,messages,Have a great day!,2023-03-26 06:04:30,true
417,424,226,messages,Have a great day!,2023-03-27 04:44:30,false
418,751,196,messages,Please wait a moment.,2023-09-17 11:21:39,false
419,173,169,messages,Thank you for your patience.,2023-08-05 20:29:55,false
420,630,294,messages,How can I assist you?,2022-11-22 17:37:07,false
421,802,154,messages,How can I assist you?,2023-05-21 15:51:46,true
422,927,504,messages,Hello,2023-09-18 19:17:15,false
423,69,952,messages,Sorry for the inconvenience.,2023-06-25 13:54:10,false
424,595,110,messages,Have a great day!,2023-07-07 17:27:44,false
425,592,810,messages,Please wait a moment.,2022-12-28 04:22:51,true
426,681,592,messages,how are you?,2023-07-04 02:13:18,false
427,381,508,messages,Have a great day!,2023-02-08 19:22:47,true
428,136,637,messages,I can't help with that.,2022-11-08 13:41:51,true
